train_loss,val_loss,created_at
0.8199273943901062,0.7759686708450317,2020-04-25 08:53:00.073065
,,2020-04-25 08:53:00.091882
0.7836317420005798,0.7678491473197937,2020-04-25 08:53:00.137059
,,2020-04-25 08:53:00.148032
0.8399035930633545,0.7609530091285706,2020-04-25 08:53:00.192443
,,2020-04-25 08:53:00.203328
0.7708085775375366,0.7555108666419983,2020-04-25 08:53:00.248017
,,2020-04-25 08:53:00.258745
0.7912838459014893,0.7516217827796936,2020-04-25 08:53:00.304442
,,2020-04-25 08:53:00.315308
0.7625683546066284,0.7480548024177551,2020-04-25 08:53:00.360941
,,2020-04-25 08:53:00.371690
0.7483768463134766,0.7447614669799805,2020-04-25 08:53:00.417226
,,2020-04-25 08:53:00.427996
0.7423552870750427,0.7431098818778992,2020-04-25 08:53:00.473284
,,2020-04-25 08:53:00.484087
0.7372758388519287,0.7419255971908569,2020-04-25 08:53:00.530142
,,2020-04-25 08:53:00.540992
0.7445605397224426,0.740484893321991,2020-04-25 08:53:00.586471
,,2020-04-25 08:53:00.597351
0.7448719143867493,0.7401728630065918,2020-04-25 08:53:01.556687
,,2020-04-25 08:53:01.576404
0.7391570806503296,0.7395616769790649,2020-04-25 08:53:01.622047
,,2020-04-25 08:53:01.632886
0.7613272070884705,0.7391157746315002,2020-04-25 08:53:01.678073
,,2020-04-25 08:53:01.688587
0.771928071975708,0.7391202449798584,2020-04-25 08:53:01.732253
,,2020-04-25 08:53:01.743073
0.7476682066917419,0.7390866875648499,2020-04-25 08:53:01.788327
,,2020-04-25 08:53:01.799057
0.7264430522918701,0.7389807105064392,2020-04-25 08:53:01.845078
,,2020-04-25 08:53:01.856071
0.7362911701202393,0.7388592958450317,2020-04-25 08:53:01.901796
,,2020-04-25 08:53:01.912728
0.7490071654319763,0.7388088703155518,2020-04-25 08:53:01.958475
,,2020-04-25 08:53:01.969330
0.7251271605491638,0.7387145757675171,2020-04-25 08:53:02.014965
,,2020-04-25 08:53:02.026215
0.7370123267173767,0.738811731338501,2020-04-25 08:53:02.071120
,,2020-04-25 08:53:02.081909
0.7291602492332458,0.738892138004303,2020-04-25 08:53:03.051890
,,2020-04-25 08:53:03.073942
0.7732315063476562,0.738541841506958,2020-04-25 08:53:03.128790
,,2020-04-25 08:53:03.141027
0.7137173414230347,0.7385272979736328,2020-04-25 08:53:03.191865
,,2020-04-25 08:53:03.204641
0.7558218240737915,0.7384784817695618,2020-04-25 08:53:03.255370
,,2020-04-25 08:53:03.266955
0.753514289855957,0.7382245659828186,2020-04-25 08:53:03.317319
,,2020-04-25 08:53:03.328462
0.7281399965286255,0.7382442951202393,2020-04-25 08:53:03.389518
,,2020-04-25 08:53:03.400623
0.7834057807922363,0.7388975024223328,2020-04-25 08:53:03.447508
,,2020-04-25 08:53:03.458723
0.7281281352043152,0.7383201122283936,2020-04-25 08:53:03.510599
,,2020-04-25 08:53:03.521569
0.7496300935745239,0.738169252872467,2020-04-25 08:53:03.572260
,,2020-04-25 08:53:03.585204
0.7613344788551331,0.7383954524993896,2020-04-25 08:53:03.636949
,,2020-04-25 08:53:03.648129
0.7304489612579346,0.7385062575340271,2020-04-25 08:53:04.640606
,,2020-04-25 08:53:04.659091
0.7477149963378906,0.7384882569313049,2020-04-25 08:53:04.709007
,,2020-04-25 08:53:04.720394
0.7570676207542419,0.7382200956344604,2020-04-25 08:53:04.772752
,,2020-04-25 08:53:04.783828
0.7155421376228333,0.7381567358970642,2020-04-25 08:53:04.836738
,,2020-04-25 08:53:04.849784
0.7321550846099854,0.7381461262702942,2020-04-25 08:53:04.904926
,,2020-04-25 08:53:04.916071
0.7866650819778442,0.7381590604782104,2020-04-25 08:53:04.966388
,,2020-04-25 08:53:04.977525
